row_index,sample_id,topic,question,reference_answer,prediction,gold_context_rank,gold_context_hit5,retrieved_context_hashes,generation_context_hashes,context_estimated_tokens,prompt_tokens,completion_tokens,latency_s,status,error
666,medicine_12589,medicine,Nên tránh gì khi bảo quản Uy linh tiên?,Tránh ẩm thấp và mối mọt.,"Theo thông tin trong NGỮ CẢNH, không có thông tin cụ thể về cách bảo quản Uy linh tiên. Tuy nhiên, dựa trên thông tin về cách bảo quản các loại thuốc khác như Bibonlax, Barole, có thể suy đoán rằng nên tránh ánh sáng mặt trời và nhiệt độ cao khi bảo quản Uy linh tiên.",,False,f3d9802d484b1bb72623|ef5c987605ffb2cf5a56|d0795c496e89c1bce723|ebebd479dbac039b94a8|5e4e8222d22c12a2954f,f3d9802d484b1bb72623|ef5c987605ffb2cf5a56|d0795c496e89c1bce723|ebebd479dbac039b94a8|5e4e8222d22c12a2954f,1072,877,72,0.6111161000007996,OK,
667,medicine_11759,medicine,Điều kiện bảo quản cần thiết khi bảo quản Trà tiên là gì?,"Cất trữ Trà tiên trong bọc kín, nơi thoáng mát, nhiệt độ phòng, không tiếp xúc trực tiếp với ánh nắng mặt trời và thông thoáng.","Nên bảo quản trong bọc kín, cất trữ nơi thoáng mát, nhiệt độ phòng, tránh tiếp xúc trực tiếp với ánh nắng mặt trời, thông thoáng.",1,True,5e4e8222d22c12a2954f|caa29448e8f0504a4c68|673380a21ebdd7bf6245|47b313974602d9fb080c|5fa41a6533d9f975ad56,5e4e8222d22c12a2954f|caa29448e8f0504a4c68|673380a21ebdd7bf6245|47b313974602d9fb080c|5fa41a6533d9f975ad56,1050,881,38,0.43750460000228486,OK,
668,medicine_4387,medicine,Nồng độ các axit không bão hòa trong dầu tầm xuân là bao nhiêu?,"Trong dầu tầm xuân, các axit béo không bão hòa chiếm 97% và các loại axit béo vi lượng chiếm 3%.","Nồng độ các axit không bão hòa trong dầu tầm xuân là khoảng 97%. Trong đó, linoleic acid chiếm khoảng 40-56%, α-linoleic chiếm khoảng 20–30%, oleic acid chiếm khoảng 14-20%.",1,True,0bcff72a9eaa5fad926f|26893d3ac6a77daa1409|e709154a566aad2788ea|54f9baaedadea53d3570|d377c06a5753f9f3c9c8,0bcff72a9eaa5fad926f|26893d3ac6a77daa1409|e709154a566aad2788ea|54f9baaedadea53d3570|d377c06a5753f9f3c9c8,1544,1275,57,0.5916537000011886,OK,
669,medicine_11275,medicine,Tinh dầu hoa cam có khả năng làm giảm hành vi lo âu thông qua cơ chế nào?,Tinh dầu hoa cam có khả năng giảm lo âu thông qua cơ chế điều chỉnh các thụ thể 5-HT.3.,Chưa đủ thông tin.,1,True,8a1a76b0b50cc428a805|1eebc872a1d8e2222b49|37b2054e07f2f76b53fb|a094151bb94c99b20aa2|8d9b5e23d18ca75fd910,8a1a76b0b50cc428a805|1eebc872a1d8e2222b49|37b2054e07f2f76b53fb|a094151bb94c99b20aa2|8d9b5e23d18ca75fd910,1087,890,7,6.94830610000281,OK,
670,medicine_5035,medicine,Điều gì có thể xảy ra nếu bảo quản các bộ phận của cây hoàng đàn ở nơi ẩm ướt?,Sẽ dẫn đến tình trạng nổi mốc meo.,"Nếu bảo quản các bộ phận của cây hoàng đàn ở nơi ẩm ướt, có thể xảy ra tình trạng nổi mốc meo.",1,True,f43a99c443a4e76645ad|1371ea2c7f622e5cad5f|4bc0819ba0dab0363407|b65d1d04685f5a77b233|81d541cf94bbcd74680c,f43a99c443a4e76645ad|1371ea2c7f622e5cad5f|4bc0819ba0dab0363407|b65d1d04685f5a77b233|81d541cf94bbcd74680c,1451,1146,30,2.7153806000023906,OK,
671,medicine_13277,medicine,Lá của cây Ô môi có đặc điểm gì?,"Lá kép, dạng lông chim, dài trung bình 25 cm. Có khoảng 10-20 đôi lá chét, mỗi lá dày, dài, dài trung bình 5 cm, rộng 1-2 cm, gốc và ngọn đều tròn, cuống ngắn, có lông bao phủ. Phiến lá có gân rõ, sắc xanh bóng.","Chưa đủ thông tin. Trong ngữ cảnh cung cấp, không có thông tin về cây Ô môi.",,False,13224cdd41779e9f326f|444f0bddfd8d8b3a706c|188f66bb40612f7f1f4a|127c3e54169cb1a1ab82|c3dda64f7fbce9b12698,13224cdd41779e9f326f|444f0bddfd8d8b3a706c|188f66bb40612f7f1f4a|127c3e54169cb1a1ab82|c3dda64f7fbce9b12698,1488,1341,22,0.4803673999995226,OK,
672,medicine_5509,medicine,"Sang tháng 8, tình trạng cây thuốc Hạ khô thảo như thế nào?","Sang tháng 8, một số cây có thể bị héo lụi.","Theo tài liệu có sẵn, sang tháng 8, một số cây có thể bị héo lụi.",1,True,887edca0ef9b3a3b774e|e745a0ecc55ffd098a84|9478b5e3c8791ba9b32b|817c631c0d3196d178c2|a07074063d848e038a30,887edca0ef9b3a3b774e|e745a0ecc55ffd098a84|9478b5e3c8791ba9b32b|817c631c0d3196d178c2|a07074063d848e038a30,1443,1066,24,0.4523972999995749,OK,
673,medicine_10834,medicine,Thương nhĩ tử là gì?,"Thương nhĩ tử là phần quả của cây thương nhĩ, có hình trứng hoặc hình thoi.","Thương nhĩ tử là phần quả của cây, hình trứng hay hình thoi, có vỏ giả rất cứng và dai.",1,True,891beba50279d4330dbc|bf03dd11bb09c6090ac6|4a3f73de30716ad0484a|af7dd9d94dc5ed1572b3|a07074063d848e038a30,891beba50279d4330dbc|bf03dd11bb09c6090ac6|4a3f73de30716ad0484a|af7dd9d94dc5ed1572b3|a07074063d848e038a30,1801,1338,27,0.49977960000251187,OK,
674,medicine_6812,medicine,Nêu bộ phận dùng của lá ổi?,Bộ phận dùng của lá ổi là lá và quả ổi xanh.,Bộ phận dùng của lá ổi là lá cây.,1,True,688fa69e39fa1b20f084|fb2add0db61ee08baab9|7e32f6aae8cd42c66c17|bcb96095038cca971c62|9dbcb62a6165deafe676,688fa69e39fa1b20f084|fb2add0db61ee08baab9|7e32f6aae8cd42c66c17|bcb96095038cca971c62|9dbcb62a6165deafe676,774,749,12,0.5080063999994309,OK,
675,medicine_6160,medicine,Làm thế nào mà kim ngân hoa tăng cường khả năng miễn dịch?,"Kim ngân hoa tăng cường khả năng miễn dịch bằng cách kích thích sản xuất đại thực bào và tế bào lympho, từ đó thúc đẩy cả miễn dịch tế bào và miễn dịch thể dịch.","Kim ngân hoa tăng hoạt động của miễn dịch tế bào và cả miễn dịch thể dịch bằng cách ""hiệu triệu"" được số lượng lớn đại thực bào và tế bào lympho.",1,True,d8849882723267c2d444|7344e2ddfdcb027e335d|0b93ae10eba05629e7b1|edf703a5da46abccf5eb|87e12312eb2db21d4813,d8849882723267c2d444|7344e2ddfdcb027e335d|0b93ae10eba05629e7b1|edf703a5da46abccf5eb|87e12312eb2db21d4813,1144,880,38,6.9135791000007885,OK,
676,medicine_9815,medicine,Vỏ cây của So Đũa có thành phần gì?,"Gồm nhựa, tanin và basorin, hai chất màu là xanthoagathin có màu vàng và agathin có màu đỏ.","Vỏ cây của So Đũa có thành phần gồm gôm nhựa, xanthoagathin (màu vàng), agathin (màu đỏ), chất nhựa, tanin và basorin.",1,True,e9e1dd3d2f8aa84cc557|13224cdd41779e9f326f|aca8cf83cea0a8b68776|69630c82026b949d116d|3301fb18081b36c7f21f,e9e1dd3d2f8aa84cc557|13224cdd41779e9f326f|aca8cf83cea0a8b68776|69630c82026b949d116d|3301fb18081b36c7f21f,1104,978,46,0.4957845000026282,OK,
677,medicine_7891,medicine,Nêu tên một số tỉnh mà có tìm thấy cây một lá?,"Ở các tỉnh Cao Bằng, Lạng Sơn, Lào Cai, Hà Giang, Tuyên Quang, Hà Tây, Hoà Bình, Sơn La, Lai Châu…","Câu trả lời dựa trên ngữ cảnh được cung cấp: Cây một lá ưa mọc ở kẽ núi đá, nơi thấp và ẩm ướt, dưới bóng cây to hoặc dưới đám cỏ dày đặc. Hầu như không thấy mọc ở bờ ruộng hay ở những môi trường khác. Gặp nhiều ở các tỉnh Cao Bằng, Lạng Sơn. Vậy một số tỉnh mà có tìm thấy cây một lá là: - Cao Bằng - Lạng Sơn",3,True,8ae22d234c1b6a54b4b6|97c51b201e481d4ee5a9|01056a1fda1648811313|b46fa867783111b0960f|fcb6140a65c51631521d,8ae22d234c1b6a54b4b6|97c51b201e481d4ee5a9|01056a1fda1648811313|b46fa867783111b0960f|fcb6140a65c51631521d,1220,1056,104,2.781899000001431,OK,
678,medicine_12272,medicine,Tầm gửi gạo có tác dụng gì theo đông y?,"Theo đông y tầm gửi gạo có tác dụng nâng cao sức khỏe, bổ thận, thanh nhiệt giải độc, chỉ thống, mạnh gân cốt và tiêu viêm.","Tầm gửi gạo có tác dụng nâng cao sức khỏe, bổ thận, thanh nhiệt giải độc, chỉ thống, mạnh gân cốt và tiêu viêm theo đông y.",1,True,f44015822a97b558fb5c|ebd20ea249d8ca8079af|d612272805d331b2e4d0|c3c65753cd9522a87a1c|3b9d312c47e60e3e0a53,f44015822a97b558fb5c|ebd20ea249d8ca8079af|d612272805d331b2e4d0|c3c65753cd9522a87a1c|3b9d312c47e60e3e0a53,1229,1016,37,6.911071999998967,OK,
679,medicine_5796,medicine,"Ở châu Mỹ, người ta có sử dụng nhựa cây hồng xiêm để làm gì?","Ở châu Mỹ, đặc biệt là Mexico, người ta thu hoạch nhựa cây hồng xiêm (chicle) để làm kẹo bạc hà, kẹo cao su, thuốc chữa ho, lợi tiêu hóa, hoặc làm thơm miệng.","Người ta ở châu Mỹ, đặc biệt là Mexico, sử dụng nhựa cây hồng xiêm để làm kẹo bạc hà, kẹo cao su (chewing-gum), thuốc chữa ho, lợi tiêu hóa, hoặc làm thơm miệng.",1,True,ea1cf8cc6e651ab1ded0|7c60f4b573f7e80922cb|e9e1dd3d2f8aa84cc557|4c3121f83f7b2a99301e|e2785dc4467fb2720fd0,ea1cf8cc6e651ab1ded0|7c60f4b573f7e80922cb|e9e1dd3d2f8aa84cc557|4c3121f83f7b2a99301e|e2785dc4467fb2720fd0,1378,1128,52,0.4580279999972845,OK,
680,medicine_13414,medicine,Cây đinh lăng có tác dụng trong các trường hợp bệnh lý nào?,Cây đinh lăng có tác dụng thông tia sữa và căng vú sữa khi phụ nữ bị tắc sữa.,"Cây đinh lăng có tác dụng tăng lực, trị tắc sữa và có thể giúp làm lành vết thương.",4,True,40d412ea0c1f04594853|c872a9a64937d83ec892|30bfc348dae5cb219180|2b4b46fdd0468eb74eaf|89b3c0be567480d8ba1e,40d412ea0c1f04594853|c872a9a64937d83ec892|30bfc348dae5cb219180|2b4b46fdd0468eb74eaf|89b3c0be567480d8ba1e,1726,1387,25,2.6983400999997684,OK,
681,medicine_11060,medicine,Cây Thầu dầu có nguồn gốc từ đâu?,Cây Thầu dầu có nguồn gốc từ Châu Phi.,Cây Thầu dầu có nguồn gốc từ Châu Phi.,1,True,d6f6491a8dc8eb6db3dd|489a8b000aa5f9492640|8b92796c413afc1b32f0|9a3a39f3e562538a9d87|c1f1fbbd52b514b2b2c1,d6f6491a8dc8eb6db3dd|489a8b000aa5f9492640|8b92796c413afc1b32f0|9a3a39f3e562538a9d87|c1f1fbbd52b514b2b2c1,1306,1048,13,0.5185671999970509,OK,
682,medicine_10506,medicine,"Ngoài tác dụng hạ lipid máu, Thiên hoa phấn còn có tác dụng gì khác?","Thiên hoa phấn còn có tác dụng giảm cytokine để chống viêm, cải thiện chức năng nội mô và ức chế sự phát triển cơ trơn, hỗ trợ ngăn ngừa xơ vữa động mạch.",Chưa đủ thông tin.,1,True,442254e20dde5e577285|3cc0a2a649d111734b93|fb6ca770f9851698a772|695ee5ba0e5fa45fe28c|74e5d8b2fde35e4d2285,442254e20dde5e577285|3cc0a2a649d111734b93|fb6ca770f9851698a772|695ee5ba0e5fa45fe28c|74e5d8b2fde35e4d2285,1197,952,7,2.6818334000017785,OK,
683,medicine_9424,medicine,"Cách dùng rau răm để điều trị tê, vết thương bầm tím, sưng đau như thế nào?","Giã nát rau răm tươi, trộn với long não hoặc dầu long não, sau đó xoa bóp vào vùng da tổn thương.",Chưa đủ thông tin.,2,True,b7eabce7aec85bb4e5e2|a370251964c2afda452d|e37e689dade628818c86|9bbc7a66e892e31fa9f4|30bfc348dae5cb219180,b7eabce7aec85bb4e5e2|a370251964c2afda452d|e37e689dade628818c86|9bbc7a66e892e31fa9f4|30bfc348dae5cb219180,1328,1090,7,6.914109699999244,OK,
684,medicine_3931,medicine,Trong môi trường như thế nào thì cây Dây Gắm mọc tự nhiên?,Cây Dây Gắm mọc tự nhiên trong rừng thường xanh.,"Cây Dây Gắm mọc tự nhiên ở môi trường ẩm ướt, mưa nhiều, nhiệt độ tầm 15 – 18°C.",1,True,2fa2db724ca712678dbb|3d0514a8017996be8b77|fcb6140a65c51631521d|49b7da014f29f8e8a02e|c9d992afa6fbe6dc04f1,2fa2db724ca712678dbb|3d0514a8017996be8b77|fcb6140a65c51631521d|49b7da014f29f8e8a02e|c9d992afa6fbe6dc04f1,1418,1186,33,6.913206999997783,OK,
685,medicine_3948,medicine,Dây bông xanh ưa thích môi trường như thế nào?,"Dây bông xanh ưa sáng, ưa ẩm, phát triển mạnh ở những vị trí thoáng và có nắng.",Dây bông xanh ưa thích môi trường có nắng và ẩm.,1,True,c9d992afa6fbe6dc04f1|6bd55727a15abcf1f661|afbb5499894275d529e6|910245eb00641df765be|260ecf12bd2f90d48740,c9d992afa6fbe6dc04f1|6bd55727a15abcf1f661|afbb5499894275d529e6|910245eb00641df765be|260ecf12bd2f90d48740,1700,1385,16,0.4789270999972359,OK,
686,medicine_11814,medicine,Làm thế nào để ứng dụng công dụng của trái chúc vào việc chăm sóc răng miệng?,"Để tận dụng tinh dầu từ trái chúc, bạn có thể trộn một ít dầu chiết xuất cùng với kem đánh răng và nước súc miệng, sau đó, sử dụng chăm sóc răng nướu hằng ngày.",Trái chúc có thể được sử dụng để chăm sóc răng miệng bằng cách chà xát trực tiếp lên nướu răng. Lượng tinh dầu từ vỏ và lá của trái chúc có thể giúp tăng cường sức khỏe răng miệng và loại bỏ vi khuẩn có hại tích tụ trong miệng. Bạn cũng có thể trộn dầu chiết xuất từ ​​trái chúc với kem đánh răng và nước súc miệng để chăm sóc răng miệng và nướu tốt hơn.,1,True,9df65ed74f83e0022c14|431be11b2c7859c120fc|6bacee16917da3cb6034|fa41025ca39db1682efa|c6b587dfa0ec291c90f3,9df65ed74f83e0022c14|431be11b2c7859c120fc|6bacee16917da3cb6034|fa41025ca39db1682efa|c6b587dfa0ec291c90f3,1864,1363,98,7.0717823000013595,OK,
687,medicine_7723,medicine,"Theo kinh nghiệm dân gian, ai là người không dùng được Mỏ quạ?","Theo kinh nghiệm dân gian, phụ nữ có thai không dùng được Mỏ quạ.",Phụ nữ có thai không dùng được Mỏ quạ.,1,True,68ed5f89514ebb0baefc|da4882204797374f3df5|30bfc348dae5cb219180|10949d2fe9eb0173f6c0|27b4509b6fe1bea0bc80,68ed5f89514ebb0baefc|da4882204797374f3df5|30bfc348dae5cb219180|10949d2fe9eb0173f6c0|27b4509b6fe1bea0bc80,954,845,14,0.3954253999982029,OK,
688,medicine_3610,medicine,Củ dòm có thể dùng ngoài da để điều trị bệnh gì?,Củ dòm tươi giã nhỏ với ít muối và gừng rồi đắp tại chỗ có thể dùng để chữa nhọt độc.,Củ dòm có thể dùng ngoài da để điều trị bệnh ngộ độc củ mì (củ sắn).,,False,df8ca2adfdbb1177e29c|1f55c2277f71dd1adca1|e0391959362c4756d229|0cff241f125db8e7492b|0a6c0ae7de5b920b3afb,df8ca2adfdbb1177e29c|1f55c2277f71dd1adca1|e0391959362c4756d229|0cff241f125db8e7492b|0a6c0ae7de5b920b3afb,1330,1133,27,0.430596099999093,OK,
689,medicine_10379,medicine,Tang bạch bì có công dụng điều trị đối với trường hợp nào?,"Tang bạch bì được dùng điều trị các trường hợp ho do phế nhiệt (phổi nóng), táo bón, suyễn.",Chưa đủ thông tin.,3,True,0c571e8f5d35502ae33d|a57a66e7adf1c4a63188|9d2d6bfc1a3f8723a533|8e04675b8a75dde54e1d|c007d1cc3cc73e6ebd60,0c571e8f5d35502ae33d|a57a66e7adf1c4a63188|9d2d6bfc1a3f8723a533|8e04675b8a75dde54e1d|c007d1cc3cc73e6ebd60,947,902,7,2.665879000000132,OK,
690,medicine_2423,medicine,Cây muối có tác dụng chống lại loại virus nào?,"Cây muối có hiệu quả chống lại virus herpes simplex (HSV), cụ thể là HSV loại 1 (HSV‐1) và HSV loại 2 (HSV‐2).",Cây muối có tác dụng chống lại virus HIV-1 và virus herpes simplex (HSV-1 và HSV-2).,1,True,2d731edfebece30c8c15|56820addd34973cef470|967ce6d0a3a5d9fb374e|84654f86a76812ba3b30|c007d1cc3cc73e6ebd60,2d731edfebece30c8c15|56820addd34973cef470|967ce6d0a3a5d9fb374e|84654f86a76812ba3b30|c007d1cc3cc73e6ebd60,2087,1590,26,13.266620800000965,OK,
691,medicine_7017,medicine,Tại sao ma tử nhân là nguồn cung cấp đạm thực vật phong phú?,"Ma tử nhân là nguồn cung cấp đạm thực vật phong phú do có lượng protein dồi dào, là một nguồn protein hoàn chỉnh cung cấp các axit amin thiết yếu và chứa nhiều acid amin methionine, cysteine, cũng như hàm lượng arginine và axit glutamic rất cao.","Ma tử nhân là nguồn cung cấp đạm thực vật phong phú vì chúng cung cấp khoảng 11 g protein trong 30 g hạt, nhiều hơn đáng kể so với các loại thực phẩm tương tự như hạt lanh, hạt chia.",1,True,b0195cc9032b5a091fe4|d3b9a0b580441de3a008|2bf98bfaa7f7a815485a|489a8b000aa5f9492640|f9d06e89d7253b305ac5,b0195cc9032b5a091fe4|d3b9a0b580441de3a008|2bf98bfaa7f7a815485a|489a8b000aa5f9492640|f9d06e89d7253b305ac5,1368,1056,50,2.7441151999992144,OK,
692,medicine_13813,medicine,Ancaloit và dipeptide được tìm thấy trong Địa cốt bì là hợp chất gì?,"Ancaloit trong Địa cốt bì là kukoamin, trong khi dipeptide là lyciumamid.",Ancaloit và dipeptide được tìm thấy trong Địa cốt bì là lyciumamid.,1,True,3dbaed423728fe059295|53181d77a06f31a4b001|2b059a0e400ee8b2624d|ec0aa61030eaaa960697|d3dee8546418468bf45d,3dbaed423728fe059295|53181d77a06f31a4b001|2b059a0e400ee8b2624d|ec0aa61030eaaa960697|d3dee8546418468bf45d,775,761,23,0.43201480000061565,OK,
693,medicine_5413,medicine,Liều dùng húng quế để chữa tiêu chảy là bao nhiêu?,Liều dùng húng quế để chữa tiêu chảy là 15g đem sắc lấy nước mà uống.,"Chưa đủ thông tin. Trong tài liệu không có thông tin về liều dùng húng quế để chữa tiêu chảy. Tuy nhiên, trong tài liệu có thông tin về liều dùng húng quế là 10-25 g/ngày.",1,True,420c8fe5cfd0fb8299ef|431b0b972c302c38b706|d521ce6325a28a58abfb|0ee5a4c4b4b9916f289f|8ea12ab90fbff839ab30,420c8fe5cfd0fb8299ef|431b0b972c302c38b706|d521ce6325a28a58abfb|0ee5a4c4b4b9916f289f|8ea12ab90fbff839ab30,1102,943,55,0.48218180000185384,OK,
694,medicine_5542,medicine,Hạt Bo bo có tác dụng gì đối với bệnh nhân đái tháo đường?,"Hạt Bo bo có thể được sử dụng làm thực phẩm trị liệu và hỗ trợ điều trị cho bệnh nhân đái tháo đường, giúp kiểm soát lượng đường trong máu.","Hạt Bo bo có thể có lợi cho sức khỏe của bệnh nhân đái tháo đường do chứa các chất như carbohydrate, protein, lipid, acid béo không no (oleic và linoleic), γ-T (một trong 7 đồng phân của vitamin E), phytosterol, có thể làm giảm lượng cholesterol trong máu và cải thiện chuyển hóa glucose bất thường. Tuy nhiên, để có thể phát huy hết công dụng của vị thuốc đối với sức khỏe, bạn nên tham khảo ý kiến bác sĩ để kiểm soát rủi ro và những tác dụng không mong muốn.",1,True,973427301162abf18b33|ebd20ea249d8ca8079af|1279124c56a40b71aaf4|1fcac0177762d89e6fbb|c19741e819ec5ace996a,973427301162abf18b33|ebd20ea249d8ca8079af|1279124c56a40b71aaf4|1fcac0177762d89e6fbb|c19741e819ec5ace996a,1402,1080,120,0.537378400000307,OK,
695,medicine_5024,medicine,"Ngoài Hoàng tinh, bài thuốc kinh nghiệm còn sử dụng những thành phần nào?","Ngoài Hoàng tinh, bài thuốc kinh nghiệm còn sử dụng ý dĩ và nước.",Chưa đủ thông tin.,,False,acc6b35dbc36a061c3ab|a07074063d848e038a30|488281dd577d82748224|5cb9d6b26a14db7a5659|695ee5ba0e5fa45fe28c,acc6b35dbc36a061c3ab|a07074063d848e038a30|488281dd577d82748224|5cb9d6b26a14db7a5659|695ee5ba0e5fa45fe28c,2120,1577,7,0.5096908999985317,OK,
696,medicine_9406,medicine,Rau răm là gì?,"Rau răm thuộc loại cây thân thảo, cao tối đa 30 cm, chia thành nhiều đốt ở phần thân.",Rau răm là một loại rau có thể được sử dụng để sắc uống hoặc xoa bóp vào vùng da tổn thương.,,False,6275045721f85842db0b|a370251964c2afda452d|30bfc348dae5cb219180|3a116e75f139c143384e|5d6c283f72e3e43eded7,6275045721f85842db0b|a370251964c2afda452d|30bfc348dae5cb219180|3a116e75f139c143384e|5d6c283f72e3e43eded7,1465,1232,29,0.5430981999998039,OK,
697,medicine_1259,medicine,Bổ cốt chỉ có vị gì?,Bổ cốt chỉ có vị cay đắng.,"Chưa đủ thông tin. Trong Cốt toái bổ Drymria fortunei có hesperi – din và 25 – 34,89% tinh bột, nhưng không có thông tin về vị của Cốt toái bổ.",,False,2b059a0e400ee8b2624d|5e25779f06420fbf62a1|b0195cc9032b5a091fe4|f870889c3d5a188b14e4|7e169cd68938f7b288a4,2b059a0e400ee8b2624d|5e25779f06420fbf62a1|b0195cc9032b5a091fe4|f870889c3d5a188b14e4|7e169cd68938f7b288a4,961,855,49,0.5616537000023527,OK,
698,medicine_8828,medicine,Phèn chua có ứng dụng gì trong công nghiệp giấy?,"Trong công nghiệp giấy, phèn chua giúp cho giấy không bị nhòe mực khi viết chữ lên.",Chưa đủ thông tin.,1,True,8a2dc40a85a03d1e6f13|1be80d8b3602c0a21325|a3bcbf642c48da4c83ae|4619965851b273ecf8ba|fd10f00ee6d67c72d2ce,8a2dc40a85a03d1e6f13|1be80d8b3602c0a21325|a3bcbf642c48da4c83ae|4619965851b273ecf8ba|fd10f00ee6d67c72d2ce,856,731,7,0.5035739000013564,OK,
699,medicine_7969,medicine,Các bệnh lý về gan mà Nghệ trắng giúp chữa trị là gì?,Xơ gan và viêm gan mạn.,Các bệnh lý về gan mà Nghệ trắng giúp chữa trị bao gồm: - Xơ gan - Viêm gan mạn.,1,True,455a60226652ee112943|f450d8960bd8190d5cf0|84654f86a76812ba3b30|a07074063d848e038a30|e08baa797df4a90e820b,455a60226652ee112943|f450d8960bd8190d5cf0|84654f86a76812ba3b30|a07074063d848e038a30,2008,1487,28,0.48589009999705013,OK,
700,medicine_12093,medicine,"Đâu là tên khoa học của ""táo rừng""?",Tên khoa học của táo rừng là Ziziphus oenoplia (L.) Mill.,"Tên khoa học của ""táo rừng"" là Ziziphus oenoplia (L.) Mill.",1,True,9b30529eda69b2d21faf|673d9fdb1c5523e04d0e|9e0c31f23833aa969026|b46fa867783111b0960f|8b92796c413afc1b32f0,9b30529eda69b2d21faf|673d9fdb1c5523e04d0e|9e0c31f23833aa969026|b46fa867783111b0960f|8b92796c413afc1b32f0,846,788,24,0.43994450000172947,OK,
701,medicine_1897,medicine,Cáp giới và nhân sâm được sử dụng cùng nhau để điều trị tình trạng gì?,"Cáp giới và nhân sâm được sử dụng cùng nhau để điều trị chứng ho lâu ngày không khỏi, ho có máu mủ.","Cáp giới và nhân sâm được sử dụng cùng nhau để điều trị tình trạng không rõ ràng trong tài liệu, nhưng có thể liên quan đến việc điều trị các vấn đề về sức khỏe hoặc bệnh tật. Cáp giới được sử dụng để điều trị các vấn đề về tiêu hóa, trong khi nhân sâm được sử dụng để điều trị các vấn đề về sức khỏe và tăng cường thể lực.",1,True,d812e128a8ccbde8df0f|a07074063d848e038a30|a07074063d848e038a30|314ffeec59123e3c7fab|6d67843b142de1606339,d812e128a8ccbde8df0f|a07074063d848e038a30|a07074063d848e038a30|314ffeec59123e3c7fab|6d67843b142de1606339,1791,1314,84,13.291784799999732,OK,
702,medicine_2560,medicine,Những thành phần chính có trong cây ráy là gì?,"Trong cây Ráy có chứa các thành phần sau: nước, calo, protein, chất béo lipid, carbohydrate, chất xơ cùng với một số các loại khoáng chất khác bao gồm canxi, sắt, magie, kali, natri, kẽm và hàm lượng các vitamin B1, B2, vitamin C và vitamin E.","Cây Ráy có chứa các thành phần sau: nước, calo, protein, chất béo lipid, carbohydrate, chất xơ cùng với một số các loại khoáng chất khác bao gồm canxi, sắt, magie, kali, natri, kẽm và hàm lượng các vitamin B1, B2, vitamin C và vitamin E.",1,True,fecceb6e291514fe506b|df8ca2adfdbb1177e29c|c3dda64f7fbce9b12698|e7774410fb955246a2bb|ec0aa61030eaaa960697,fecceb6e291514fe506b|df8ca2adfdbb1177e29c|c3dda64f7fbce9b12698|e7774410fb955246a2bb|ec0aa61030eaaa960697,1450,1217,74,0.5092108999997436,OK,
703,medicine_4053,medicine,Tác dụng dược lý của dây tơ hồng vàng đã được ghi nhận ở đâu?,Tác dụng dược lý của dây tơ hồng vàng đã được ghi nhận ở thỏ khi tiêm vào ổ bụng.,"Dây tơ hồng vàng đã được ghi nhận có tác dụng làm tăng khả năng của thực bào, giúp cải thiện hệ miễn dịch khi chiết xuất từ dây tơ hồng vàng được tiêm vào ổ bụng của thỏ.",1,True,ff42fa96c35d62ee36a7|260ecf12bd2f90d48740|4e45df33c5d7b1c9ad49|f1d6a4a3059c101401a0|ffe5419384b72bcdb1d2,ff42fa96c35d62ee36a7|260ecf12bd2f90d48740|4e45df33c5d7b1c9ad49|f1d6a4a3059c101401a0|ffe5419384b72bcdb1d2,1081,943,49,2.7361450999997032,OK,
704,medicine_1956,medicine,Ở những vùng nào trên thế giới thường phân bố và tập trung chủ yếu của cây Câu đằng?,"Cây Câu đằng thường phân bố và tập trung chủ yếu ở những vùng nhiệt đới và cận nhiệt đới như Ấn Độ, Malaysia, Peru, Việt Nam…","Câu đằng thường phân bố và tập trung chủ yếu ở những vùng nhiệt đới và cận nhiệt đới như Ấn Độ, Malaysia, Peru, Việt Nam…",1,True,0baf9a931677f8b6f4ca|bdcfcc042c6d1550c927|49b7da014f29f8e8a02e|4c7ab74053f8075294d0|911a4a622451702a3b25,0baf9a931677f8b6f4ca|bdcfcc042c6d1550c927|49b7da014f29f8e8a02e|4c7ab74053f8075294d0|911a4a622451702a3b25,1696,1371,35,7.140447400000994,OK,
705,medicine_3076,medicine,"Đối với cây cải cúc, bộ phận của cây nào khi dùng làm dịch chiết ethanol có tác dụng kháng khuẩn trên Bacillus subtilis và Micrococcus luteus lufe?","Thân, lá, hoa của cây cải cúc đều có tác dụng kháng khuẩn này.",Chưa đủ thông tin.,1,True,139d45286ff0af164bc4|631a79d762cbea0a0916|932fa4fd741b001b7bc1|9f98bd515a2b8da6552d|7e32f6aae8cd42c66c17,139d45286ff0af164bc4|631a79d762cbea0a0916|932fa4fd741b001b7bc1|9f98bd515a2b8da6552d|7e32f6aae8cd42c66c17,1092,955,7,0.43304189999980736,OK,
