question,source_raw,expected_sources,profile,dataset
Khoảng bao nhiêu ngày thì cổ tử cung của em sẽ đóng kín hoàn toàn sau khi đẻ các v ạ,Sổ tay 4Steps - Trang 4,sổ tay 4steps - trang 4,quantitative,KB2_Mom_Style
Dung tích dạ dày bé từ ngày thứ 5 đến ngày thứ 7 sau đẻ là bao nhiêu v a,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB2_Mom_Style
Dung tích dạ dày của bé sơ sinh trong ngày đầu tiên là bao nhiêu z,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB2_Mom_Style
"Bé nhà mình 2 tháng tuổi mà ngón tay cái cứ gập vào trong lòng bàn tay, k duỗi thẳng ra đc thì có phải là dấu hiệu bệnh j nguy hiểm k",Trẻ 2 tháng tuổi không duỗi thẳng được ngón cái là dấu hiệu bệnh gì.docx,trẻ 2 tháng tuổi không duỗi thẳng được ngón cái là dấu hiệu bệnh gì.docx,quantitative,KB2_Mom_Style
"Trong 2 giờ đầu sau khi đẻ, người hộ sinh sẽ theo dõi j quan trọng nhất ở em nhi",Sổ tay 4Steps - Trang 10,sổ tay 4steps - trang 10,quantitative,KB2_Mom_Style
"Vết khâu tầng sinh môn của em bị hở, rách, dứt chỉ thì xử lý ntn v a","d3fa1053-wp8-postpartum-care-handbook-viet.pdf trang 21,22","d3fa1053-wp8-postpartum-care-handbook-viet.pdf trang 21,22",semantic,KB2_Mom_Style
Em đang cho con bú mà fải dùng thuốc kháng sinh thì có ảnh hưởng j đến việc bé bị nấm miệng k,Nấm miệng.docx,nấm miệng.docx,semantic,KB2_Mom_Style
Đặc điểm nhận biết bị chàm da ở trẻ la ntn,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB2_Mom_Style
Những thực phẩm nào mẹ bỉm mang thai nên dùng để cung cấp năng lượng,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,semantic,KB2_Mom_Style
Cho trẻ uống thuốc gì khi nôn ói v a,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB2_Mom_Style
Giải pháp phòng ngừa bệnh xuất huyết não ở trẻ ntn,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB2_Mom_Style
"Bé nhà t mới sinh đc vài tuần, em có thể chơi những trò j đơn giản để bắt đầu tương tác và gắn kết với con k?",20 trò chơi thú vị.docx,20 trò chơi thú vị.docx,semantic,KB2_Mom_Style
Em nên bắt đầu tập các bài tập phục hồi sàn chậu từ khi nào và cần lưu ý j khi tập k,Phục hồi chức năng sàn chậu và lợi ích đối với các bà mẹ sau sinh.docx,phục hồi chức năng sàn chậu và lợi ích đối với các bà mẹ sau sinh.docx,semantic,KB2_Mom_Style
Cách xử trí khi vú bị căng sưa hoặc cương tức fải làm sao,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,semantic,KB2_Mom_Style
Cách xử trí ở nhà khi bé nhà t bị sốt cao fải làm sao,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,semantic,KB2_Mom_Style
Có mẹo nào giúp em dễ đi tiểu hơn khi đang bị bí tiểu ở viện k,"Sổ tay 4Steps - Trang 8, 18","sổ tay 4steps - trang 8, 18",semantic,KB2_Mom_Style
Quy trình tái khám sau sinh mổ diễn ra ntn,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB2_Mom_Style
Khi nào thì con em ms bắt đầu có thể uống thêm nước đun sôi để nguội và lượng uống ntn là phù hợp,Tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước.docx,tại sao chúng ta không cần cho trẻ sơ sinh dưới 6 tháng tuổi uống nước.docx,semantic,KB2_Mom_Style
Vết mổ đẻ của em bị sưng và thấy có mủ chảy ra và tấy đổ quanh vết khâu thì em fải xử lý thế nào a,Sốt sau mổ lấy thai - Trang 2,sốt sau mổ lấy thai - trang 2,semantic,KB2_Mom_Style
Em fải kiên trì tập Kegel trong bao lâu thì ms bắt đầu cảm thấy cơ thể mình có sự thay đổi rõ rệt,Phục hồi chức năng sàn chậu và lợi ích đối với các bà mẹ sau sinh.docx,phục hồi chức năng sàn chậu và lợi ích đối với các bà mẹ sau sinh.docx,semantic,KB2_Mom_Style
Lợi ích của việc tiêm chủng vắc xin đầy đủ cho bé nhà t,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,semantic,KB2_Mom_Style
Tầng sinh môn của em bị đau và rách thì chăm sóc ở nhà thế nào bs ơi,1445371_Improving-the-quality-and-care-of ,1445371_improving-the-quality-and-care-of,semantic,KB2_Mom_Style
Đặc tính của sữa non là j,Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,semantic,KB2_Mom_Style
Bệnh tay chân miệng lây lan ntn,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB2_Mom_Style
Tái khám sau sinh là j v,qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB2_Mom_Style
"Hôm nay con em ăn dặm mới ói một bài, cho em hỏi cần cho trẻ uống thuốc gì khi nôn ói?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,exact_lexical,KB3_Information_Noise
"Em đang định vắt sữa bằng máy công nghiệp, hướng dẫn em cách vắt sữa bằng tay làm sao để không bị đau và tắc tia sữa ạ",Sổ tay 4Steps - Trang 49,sổ tay 4steps - trang 49,exact_lexical,KB3_Information_Noise
"Bác sĩ ơi, bà nội em bảo chỉ cần cháo trắng thịt lợn là đủ chất rồi cần gì rau củ rườm rà, trong một bát bột ăn dặm chuẩn cho bé, em cần phải đảm bảo có đủ 4 nhóm chất dinh dưỡng nào ạ",Hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của Viện Dinh dưỡng Quốc gia.docx,hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của viện dinh dưỡng quốc gia.docx,exact_lexical,KB3_Information_Noise
"Em đang định chườm đá lạnh lên ngực vì sưng quá, ngực em tự nhiên bị sưng cứng và đau nhức quá, có phải em đã bị tắc tia sữa rồi không ạ",Tắc tia sữa sau sinh.docx,tắc tia sữa sau sinh.docx,exact_lexical,KB3_Information_Noise
"Chị họ em sinh đôi bị băng huyết sợ quá, nguyên nhân phổ biến nhất gây băng huyết sau sinh là gì ạ",Phác đồ Chẩn đoán và xử trí BHSS - Trang 1,phác đồ chẩn đoán và xử trí bhss - trang 1,exact_lexical,KB3_Information_Noise
"Em sờ thấy bụng mềm nhưng bố chồng bảo cứng mới đúng, dấu hiệu lâm sàng chính của băng huyết do đờ tử cung là gì ạ",Phác đồ Chẩn đoán và xử trí BHSS - Trang 2,phác đồ chẩn đoán và xử trí bhss - trang 2,exact_lexical,KB3_Information_Noise
"Con em đang bú sữa mẹ và uống vitamin, cho em hỏi thiếu vitamin D gây ảnh hưởng như thế nào?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,exact_lexical,KB3_Information_Noise
"Em lo quá vì mẹ chồng cứ bắt bơm thêm canxi vào cháo cho cháu, làm sao để em biết mình đã cân đối đúng lượng thực phẩm trong mỗi bát cháo ăn dặm cho con hàng ngày",Số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,exact_lexical,KB3_Information_Noise
"Em vừa ăn canh táo đỏposition setPosition(position) cho nhiều sữa, nhưng sau sinh bao lâu em bị sốt và sản dịch hôi thì là bị nhiễm trùng tử cung ạ","Nhiễm khuẩn hậu sản - Trang 1, 2","nhiễm khuẩn hậu sản - trang 1, 2",exact_lexical,KB3_Information_Noise
"Em stress quá vì chồng đi công tác, không biết trẻ nên được bú mẹ lần đầu vào thời điểm nào sau sinh để em cố gắng đúng giờ",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,exact_lexical,KB3_Information_Noise
"Em hay cãi nhau với mẹ chồng nên stress, cho em hỏi kích thích phản xạ oxytocin trước khi vắt sữa có quan trọng không ạ",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,exact_lexical,KB3_Information_Noise
"Em đang định dùng lá tía tô đun tắm cho con hết vàng da, làm sao để phân biệt vàng da sinh lý và vàng da bệnh lý ở trẻ sơ sinh ạ","Sổ tay 4Steps - Trang 76, 85","sổ tay 4steps - trang 76, 85",exact_lexical,KB3_Information_Noise
"Em đặt báo thức 3 tiếng cho bú một lần, bú mẹ theo nhu cầu được định nghĩa như thế nào có đúng như em làm không ạ",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,exact_lexical,KB3_Information_Noise
"Em đang mặc quần lót đen, sản dịch của em ngày thứ 5 có màu lờ lờ máu cá thì có phải là bất thường không ạ",Sổ tay 4Steps - Trang 7,sổ tay 4steps - trang 7,exact_lexical,KB3_Information_Noise
"Bà nội em bảo bú bình con mới béo, em nghe nói nếu không bú mẹ thì con dễ bị béo phì khi lớn lên phải không ạ",1445371_Improving-the-quality-and-care-of ,1445371_improving-the-quality-and-care-of,exact_lexical,KB3_Information_Noise
"Em đang định dùng xà phòng diệt khuẩn để rửa ti, cách xử trí nứt núm vú cho bà mẹ sau bú là gì ạ",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,noisy_conversational,KB3_Information_Noise
"Em đang định cho bé bú bình vì vết mổ quá đau, em sinh mổ thì bao lâu mới có thể bắt đầu cho bé bú bữa sữa đầu tiên được ạ","QĐ 4673/QĐ-BYT - Trang 9, 10","qđ-byt - trang 9, 10",noisy_conversational,KB3_Information_Noise
"Em đang dùng khăn giấy lau bếp để lau cho con cho nhanh, khi thay tã cho bé sơ sinh, em nên lau rửa cho con theo hướng nào để đảm bảo vệ sinh và tránh nhiễm trùng ạ",Hướng dẫn về lần thay tã đầu tiên của bé.docx,hướng dẫn về lần thay tã đầu tiên của bé.docx,noisy_conversational,KB3_Information_Noise
"Em đang định dùng bàn chải lông cứng của người lớn cho con, em nên vệ sinh răng miệng cho bé từ khi nào và dùng dụng cụ gì cho an toàn ạ",Sách Không ai hoàn hảo - Sức khỏe,sách không ai hoàn hảo - sức khỏe,noisy_conversational,KB3_Information_Noise
"Em đnag cãi nhau với chồng, em stress quá có nên đi tái khám sau sinh không?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,noisy_conversational,KB3_Information_Noise
"Em vội vàng dọn dẹp nhà cửa nên cứ tống cho con cái kẹo ngọt để nó ngoan, giờ thì con lười đánh răng lại hay bị sâu, bác sĩ hướng dẫn em cách chăm sóc răng miệng đúng cách để con không bị sâu răng sớm ạ",Trẻ 34 tháng tuổi.docx,trẻ 34 tháng tuổi.docx,noisy_conversational,KB3_Information_Noise
"Em đang đi mua sắm đồ cho bé mới, nếu em bị mất con sau sinh thì nên ăn uống thế nào để cơ thể nhanh hồi phục ạ?",Sổ tay 4Steps - Trang 64,sổ tay 4steps - trang 64,noisy_conversational,KB3_Information_Noise
"Em đang định tự đun dầu đun sôi để làm màng tã chống thấm, em lo ngại các hóa chất trong tã giấy, có loại tã nào không chứa gel siêu thấm hay chất tẩy trắng clo để an toàn hơn cho da bé không ạ",Tã dùng một lần.docx,tã dùng một lần.docx,noisy_conversational,KB3_Information_Noise
"Con em nó ăn ít quá, chồng em và bà ngoại lo quá, cho em hỏi nghén điều trị như thế nào?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,noisy_conversational,KB3_Information_Noise
"Em đang định cho con xem máy tính học lập trình, làm sao để em nhận biết được bé nhà em đang bắt đầu học hỏi và khám phá thế giới xung quanh ạ",Sách Không ai hoàn hảo - Trí tuệ,sách không ai hoàn hảo - trí tuệ,noisy_conversational,KB3_Information_Noise
"Em đang bị cảm cúm sổ mũi, em bị rét run ngay sau khi vừa đẻ xong thì có phải là bị nhiễm trùng không ạ",Sổ tay 4Steps - Trang 9,sổ tay 4steps - trang 9,noisy_conversational,KB3_Information_Noise
"Chồng em cứ bảo mua về mặc luôn cho khỏe, nhưng em thì nghĩ đồ mới có hóa chất, em mới mua tã vải về cho con thì có cần phải giặt trước khi dùng không",Cách giặt tã vải cho trẻ nhỏ.docx,cách giặt tã vải cho trẻ nhỏ.docx,noisy_conversational,KB3_Information_Noise
"Em stress quá vì chồng mua cả lốc thuốc bổ thần kỳ bảo cho con uống cho thông minh, ngoài việc chơi đùa, em có cần bổ sung thêm dưỡng chất gì để hỗ trợ bé có đủ năng lượng và sự tập trung khi tham gia các hoạt động này không",20 trò chơi thú vị.docx,20 trò chơi thú vị.docx,noisy_conversational,KB3_Information_Noise
"Chồng em đang bật nhạc sàn cực to cho con nghe, bé hay bị nôn trớ thì em phải xử lý thế nào để bé không bị sặc ạ?",Sổ tay 4Steps - Trang 74,sổ tay 4steps - trang 74,noisy_conversational,KB3_Information_Noise
"Em đang định nâng tạ nặng để tập thể dục, làm sao để em có thể phòng ngừa hiệu quả bệnh sa tử cung ngay tại nhà sau khi sinh em bé ạ",Phòng ngừa sa tử cung sau sinh.docx,phòng ngừa sa tử cung sau sinh.docx,noisy_conversational,KB3_Information_Noise
"Em đang tính mua kẹo mút để dỗ con, con em hay giận dỗi, nằm lăn ra sàn khóc ăn vạ thì em nên làm gì ạ",Sách Không ai hoàn hảo - Hành vi,sách không ai hoàn hảo - hành vi,noisy_conversational,KB3_Information_Noise
"Em đang tính đeo vòng tránh thai để tập thể dục, em thấy vùng kín có cảm giác nặng nề, trì trệ như có vật gì sắp rơi ra, đây có phải là dấu hiệu của sa tử cung không ạ",Phòng ngừa sa tử cung sau sinh.docx,phòng ngừa sa tử cung sau sinh.docx,noisy_conversational,KB3_Information_Noise
"Em đang bị ngứa ở vùng kín mà dùng thuốc tím, huyết trắng của em đóng mảng trắng đục như váng sữa kèm ngứa nóng rát là bị làm sao ạ",Ts. Bs. Huỳnh Thị Thu Thủy - Trang 4,ts. bs. huỳnh thị thu thủy - trang 4,noisy_conversational,KB3_Information_Noise
"Em đang định giặt tã bằng nước rửa chén vì thấy dơ bẩn, sau khi bé thay tã vải xong, em nên xử lý và giặt giũ tã như thế nào để đảm bảo sạch khuẩn cho lần dùng sau ạ",Cách thay tã vải cho trẻ sơ sinh.docx,cách thay tã vải cho trẻ sơ sinh.docx,noisy_conversational,KB3_Information_Noise
"Em thì hay nói chuyện với con liên tục nhưng bà nội bảo nói con nó có hiểu gì đâu làm rộn, ngoài việc phát âm, em cần quan sát những phản ứng nào khác của con đối với lời nói của cha mẹ để biết bé phát triển tâm sinh lý bình thường ạ",Bé hơn 6 tháng chưa biết.docx,bé hơn 6 tháng chưa biết.docx,noisy_conversational,KB3_Information_Noise
"Em đang tập yoga thử, khoảng bao nhiêu ngày thì cổ tử cung của em sẽ đóng kín hoàn toàn sau khi đẻ ạ",Sổ tay 4Steps - Trang 4,sổ tay 4steps - trang 4,quantitative,KB3_Information_Noise
"Em mất ngủ 2 ngày nay, lo lắng thái quá, liệt kê giúp em các dấu hiệu nguy hiểm ở trẻ sơ sinh cần đi khám ngay được không",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,quantitative,KB3_Information_Noise
"Dạo này công việc bù đầustress quá, em lúng túng không nhớ liều lượng, con em bước sang tháng thứ 7 đến tháng thứ 9, em có cần tăng thêm số lượng bữa ăn dặm cho bé không bác sĩ",Số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,số bữa ăn dặm trong ngày của trẻ từ 6 tháng.docx,quantitative,KB3_Information_Noise
"Em đâu đầu về thực đơn một ngày của trẻ quá , cho em hỏi trẻ từ 12-24 tháng tuổi cần ăn bao nhiêu bữa một ngày ạ",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,quantitative,KB3_Information_Noise
"Hàng xóm bảo con trai 21 tháng 12kg là bình thường còn em thì lo bé chân tay ngắn, em stress quá, bé nhà em 21 tháng tuổi, cao 79cm và nặng 12kg, liệu con có nguy cơ bị bệnh lùn không bác sĩ",Trẻ 21 tháng chậm phát triển chiều cao.docx,trẻ 21 tháng chậm phát triển chiều cao.docx,quantitative,KB3_Information_Noise
"Con em trộm vía được 1 tháng rồi, sau khi sinh xong thì giai đoạn hậu sản được tính kéo dài bao lâu ạ?",1445371_Improving-the-quality-and-care-of ,1445371_improving-the-quality-and-care-of,quantitative,KB3_Information_Noise
"Em đi làm về mệt quá không muốn vắt sữa, có bao nhiêu trường hợp bà mẹ được khuyến nghị cần vắt sữa ạ",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB3_Information_Noise
"Chị bên cạnh bảo con mình 1 tuổi đã biết đọc chữ, trẻ bao nhiêu tuổi thì bắt đầu hiểu được các quy tắc và kỷ luật ạ",Sách Không ai hoàn hảo - Hành vi,sách không ai hoàn hảo - hành vi,quantitative,KB3_Information_Noise
"Em lo quá bác sĩ ạ, chị hàng xóm bảo bé 4 tháng đã cho ăn dặm cho cứng cáp, nhưng em thấy con chưa chắc đã tiêu hóa nổi, bé nhà em mấy tháng tuổi thì nên bắt đầu cho ăn dặm là tốt nhất ạ",Hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của Viện Dinh dưỡng Quốc gia.docx,hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của viện dinh dưỡng quốc gia.docx,quantitative,KB3_Information_Noise
"Em tính cho con dùng thêm sữa công thức vì thấy bé hay khóc, lượng sữa cần cho trẻ từ khi sinh đến 1 tháng tuổi là bao nhiêu mỗi ngày ạ",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB3_Information_Noise
"Em đang tính mua rễ cây ráy về đắp lên rốn, sau 2 tuần mà rốn bé vẫn chưa rụng thì em có cần đưa bé đi viện không ạ",Sổ tay 4Steps - Trang 96,sổ tay 4steps - trang 96,quantitative,KB3_Information_Noise
"Em đang uống nhiều nước lọc vì sợ ít sữa, sữa mẹ chứa bao nhiêu phần trăm là nước ạ",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB3_Information_Noise
"Mẹ chồng em bảo phòng mát 22 độ là đẹp cho cháu, còn em thì thấy lạnh buốt, ở nhà em nên để nhiệt độ phòng bao nhiêu là tốt nhất và cần làm gì ngay khi sinh để giữ ấm cho bé, tránh cho con bị nhiễm lạnh ạ",Hạ thân nhiệt ở trẻ sơ sinh.docx,hạ thân nhiệt ở trẻ sơ sinh.docx,quantitative,KB3_Information_Noise
"Em đang ăn kiêng để giảm cân, cho em hỏi nhu cầu năng lượng từ sữa mẹ/ngày cho trẻ từ 3-5 tháng tuổi là bao nhiêu kcal",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,quantitative,KB3_Information_Noise
"Bà nội em cứ nồi nào cũng nêm gia vị mặn chát cho cháu ăn cùng gia đình, để tránh tình trạng suy dinh dưỡng ở trẻ 34 tháng tuổi, em nên làm gì ạ?",Trẻ 34 tháng tuổi.docx,trẻ 34 tháng tuổi.docx,quantitative,KB3_Information_Noise
"Bà nội em bảo đợi đến 6 tháng mới tiêm, bé 2 tháng tuổi thì cần phải đi tiêm những loại vắc xin gì theo định kỳ ạ",Sổ tay 4Steps - Trang 89,sổ tay 4steps - trang 89,quantitative,KB3_Information_Noise
"Chồng em bảo con chưa biết nói thì đọc sách với nó làm gì cho mệt, cho em hỏi trẻ từ 4 đến 6 tháng tuổi thì nên chơi những trò gì ạ?",20 trò chơi thú vị.docx,20 trò chơi thú vị.docx,quantitative,KB3_Information_Noise
"Chồng em đang tính mua sách dạy chữ Hán cho con từ lúc 3 tháng tuổi, em nên bắt đầu đọc sách cho bé nghe từ khi nào để con sớm làm quen với ngôn ngữ ạ",Sách Không ai hoàn hảo - Trí tuệ,sách không ai hoàn hảo - trí tuệ,quantitative,KB3_Information_Noise
"Em dạo này bù đầu công việc không để ý con bò, đến lúc rảnh mới giật mình thấy con 10 tháng chưa bò, khi nào thì tình trạng này cần phải đưa đi khám bác sĩ",Trẻ trốn bò có sao không.docx,trẻ trốn bò có sao không.docx,quantitative,KB3_Information_Noise
"Em thấy hàng xóm nêm mắm nhắm vào bát cháo cho bé 8 tháng ăn ngoan lắm, nhưng em thì sợ thận con yếu, tại sao bác sĩ lại dặn là không nên nêm thêm mắm hay muối vào thức ăn dặm của trẻ dưới 1 tuổi ạ",Hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của Viện Dinh dưỡng Quốc gia.docx,hướng dẫn đầy đủ về ăn dặm theo khuyến cáo của viện dinh dưỡng quốc gia.docx,quantitative,KB3_Information_Noise
"Em sợ tiêm phòng vì bé khóc, nhưng lợi ích của việc tiêm chủng vắc xin đầy đủ cho trẻ là gì để em động viên mình",viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,viendinhduong_nuoi_duong_cham_soc_tre_so_sinh.pdf,semantic,KB3_Information_Noise
"Chồng em vừa đi công tác, em stress quá , cho em hỏi nguyên nhân xuất huyết não ở trẻ sơ sinh là gì?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB3_Information_Noise
"Em mới về nhà sau khi xuất viện cùng với bé, em muốn biết thời kỳ hậu sản là gì?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB3_Information_Noise
"Em thấy phòng khám đông đúc quá, 10 điều kiện nuôi con bằng sữa mẹ thành công bao gồm những gì để em tự làm ở nhà",Tài liệu khóa học Nuôi con bằng sữa mẹ.pdf,tài liệu khóa học nuôi con bằng sữa mẹ.pdf,semantic,KB3_Information_Noise
"2 vợ chồng em đang cãi lộn việc trông con, em muốn biết viêm tiểu phế quản ở trẻ sơ sinh là gì?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB3_Information_Noise
"Em đang định xem phim hài để giải trí, thời điểm cần sử dụng các biện pháp tránh thai sau sinh","d3fa1053-wp8-postpartum-care-handbook-viet.pdf/Trang 54,55,56","trang 54,55,56",semantic,KB3_Information_Noise
"Hôm nay đi ngang đường để mua tã cho bé, em thắc mắc cách phòng bệnh tay chân miệng hiệu quả?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB3_Information_Noise
"Chồng em cú đi làm về khuya em chán quá, cho em hỏi viêm màng não ở trẻ nhỏ?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB3_Information_Noise
"Em đang uống cà phê pha đặc để thức đêm, cho em hỏi trầm cảm sau sinh là gì?",Hỗ trợ sức khỏe tâm thần cho phụ nữ sau sinh như thế nào.docx,hỗ trợ sức khỏe tâm thần cho phụ nữ sau sinh như thế nào.docx,semantic,KB3_Information_Noise
"về sức khỏe của em bé, cho em hỏi em bé sau sinh cần hỗ trợ về sức khỏe tâm thần như thế nào?",Hỗ trợ sức khỏe tâm thần cho phụ nữ sau sinh như thế nào.docx,hỗ trợ sức khỏe tâm thần cho phụ nữ sau sinh như thế nào.docx,semantic,KB3_Information_Noise
"Hai vợ chồng đang bé con đi chơi, thấy có bé bị bệnh, cho em hỏi bệnh tay chân miệng lây lan như thế nào?",qa_me_bim_sau_sinh_100.csv.xlsx,qa_me_bim_sau_sinh_100.csv.xlsx,semantic,KB3_Information_Noise
