Câu hỏi,Trả lời,Nguồn
Dinh dưỡng nào hỗ trợ sức khỏe tâm lý mẹ sau sinh?,"Omega-3 (cá hồi, cá thu) giúp cải thiện tâm trạng. Vitamin D (ánh nắng, trứng). Magie (hạt bí, chuối, rau bina). Vitamin B12 (thịt đỏ, trứng). Tryptophan (chuối, sữa, hạt điều) giúp tổng hợp Serotonin.",ThS.BS Nguyễn Thành Long — Vinmec Times City
Mẹ sau sinh có thể đi làm lại khi nào?,"Theo luật lao động VN, mẹ được nghỉ thai sản 6 tháng. Về thể chất: sinh thường có thể đi làm sau 6–8 tuần, sinh mổ sau 8–12 tuần. Nên trao đổi với bác sĩ và chuẩn bị sẵn sữa vắt cho bé trước khi đi làm.",Vinmec — Tư vấn sau sinh
Mẹ sau sinh không muốn gần chồng có bình thường không?,"Rất bình thường trong giai đoạn hậu sản: hormone thay đổi, mệt mỏi, đau vết thương, tập trung chăm bé. Chia sẻ cảm xúc với chồng, không áp lực. Nếu cảm giác này kéo dài >3 tháng kèm buồn bã có thể liên quan đến trầm cảm sau sinh.",BV Từ Dũ — Sức khỏe mẹ sau sinh
Thang điểm EPDS dùng để làm gì?,"EPDS (Edinburgh Postnatal Depression Scale) là bộ 10 câu hỏi sàng lọc trầm cảm sau sinh, thường dùng tại 2 tuần và 6 tuần sau sinh. Điểm ≥10 gợi ý có nguy cơ trầm cảm, cần được đánh giá thêm bởi chuyên gia.",Viện Sức khỏe Tâm thần — BV Bạch Mai; Vinmec
Vệ sinh rốn sơ sinh đúng cách như thế nào?,"Dùng cồn 70% hoặc betadin lau quanh cuống rốn 2 lần/ngày. Không băng kín rốn. Giữ rốn khô thoáng, không để dây rốn ướt khi tắm. Rốn rụng tự nhiên sau 7–14 ngày. Nếu rốn đỏ, chảy mủ hoặc có mùi hôi cần đến bác sĩ.",Bộ Y tế VN — Quyết định 2323/QĐ-BYT 2025
Tắm sơ sinh khi nào và tắm như thế nào?,"Tắm lần đầu: sau 6 giờ (sinh thường), 24 giờ (sinh mổ). Nước ấm 37–38°C (thử bằng khuỷu tay). Phòng kín gió 25–28°C. Tắm nhanh 5–7 phút. Dùng xà phòng dịu nhẹ cho trẻ. Lau khô ngay sau tắm, đặc biệt các nếp gấp.",Bộ Y tế VN 2025 — Chăm sóc sơ sinh thiết yếu
Phân su (phân đầu đời) của trẻ sơ sinh màu gì?,"Phân su màu đen bóng, đặc quánh, ra trong 24–48 giờ đầu. Ngày 3–4 chuyển vàng xanh (phân chuyển tiếp). Sau đó: phân bú mẹ màu vàng hạt mù tạt, sệt; phân sữa công thức vàng nhạt, đặc hơn.",BV Nhi Đồng 1 — Phác đồ nhi khoa 2020
Vàng da sơ sinh sinh lý khác vàng da bệnh lý như thế nào?,"Vàng da sinh lý: xuất hiện ngày 2–3, bilirubin <15mg/dl ở trẻ đủ tháng, không ảnh hưởng bú ăn, tự khỏi sau 7–10 ngày. Vàng da bệnh lý: xuất hiện <24 giờ hoặc kéo dài >2 tuần, bilirubin cao, trẻ lơ mơ bú kém — cần chiếu đèn hoặc thay máu.",BV Nhi Đồng 2; Bộ Y tế VN
Trẻ sơ sinh vàng da cần chiếu đèn khi nào?,Chiếu đèn khi bilirubin vượt ngưỡng theo cân nặng và tuổi thai: trẻ đủ tháng thường >15–17mg/dl. Bác sĩ sẽ quyết định dựa trên xét nghiệm máu. Không tự điều trị tại nhà bằng phơi nắng vì không đủ hiệu quả.,BV Nhi Đồng 2 — Vàng da sơ sinh
Trẻ sơ sinh ngủ bao nhiêu tiếng mỗi ngày?,"Sơ sinh 0–2 tháng: ngủ 16–18 tiếng/ngày chia nhiều giấc ngắn (2–4 giờ/giấc). Trẻ không phân biệt ngày đêm trong tháng đầu. Không cần ép bé ngủ giấc dài, chỉ cần đảm bảo bé bú đủ.",Vinmec; BV Nhi Đồng 1
Sơ sinh dưới 28 ngày sốt từ bao nhiêu độ phải đưa đi viện?,Sơ sinh <28 ngày sốt từ 38°C (đo ở nách) cần đến bệnh viện NGAY vì có nguy cơ nhiễm trùng huyết rất cao. Không tự điều trị tại nhà. Không đo nhiệt độ ở miệng cho trẻ sơ sinh.,Bộ Y tế VN — Hướng dẫn 2025; BV Nhi Trung ương
Trẻ >28 ngày sốt xử lý như thế nào?,"≥38.5°C: cho uống/đặt hậu môn Paracetamol 10–15mg/kg/liều, cách 4–6 giờ/lần. Mặc thoáng, chườm ấm (không chườm lạnh). Cho bú/uống nước nhiều. Sốt không hạ sau 2 ngày hoặc kèm co giật, khó thở → đến BV.",Bộ Y tế VN; BV Nhi Đồng 1 — Phác đồ sốt sơ sinh
Trẻ sơ sinh nôn trớ nhiều phải làm gì?,"Cho bú đúng tư thế, không để bé nằm ngay sau bú. Ợ hơi sau mỗi cữ bú (bế đứng vỗ lưng 5–10 phút). Tránh cho bú quá nhiều một lúc. Nôn vọt mạnh, nôn mật xanh hoặc có máu, nôn kèm sốt → đến bệnh viện ngay.",BV Nhi Đồng 1; Vinmec
Trẻ sơ sinh hay mắc tiêm vắc xin gì?,"Lịch tiêm chủng quốc gia: Ngay sau sinh: BCG (lao), viêm gan B mũi 1. 2 tháng: 5 trong 1 (DTP-VGB-Hib), bại liệt. 3 tháng: 5 trong 1 mũi 2, bại liệt. 4 tháng: 5 trong 1 mũi 3. 9 tháng: sởi. 18 tháng: DTP nhắc lại.",Bộ Y tế VN — Chương trình tiêm chủng mở rộng
Bé nổi mẩn đỏ ở mặt sau sinh có sao không?,Mụn sữa (milia): nốt trắng nhỏ trên mũi/má — tự biến mất trong vài tuần. Hồng ban sơ sinh (erythema toxicum): đỏ có nhân trắng — lành tính. Eczema dị ứng: đỏ khô ở má — dùng kem dưỡng ẩm. Nổi mủ có sốt → khám ngay.,Vinmec; BV Nhi Đồng 1
Hăm tã trẻ sơ sinh xử lý như thế nào?,"Thay tã thường xuyên (2–3 giờ/lần), lau sạch và để khô hoàn toàn trước khi mặc tã mới. Bôi kem kẽm oxide (zinc oxide) tạo lớp bảo vệ. Để mông trần thoáng khí 15–30 phút/ngày. Không dùng phấn rôm vì gây hại đường thở.",Vinmec; BV Nhi Trung ương
Trẻ sơ sinh bị tiêu chảy nhận biết như thế nào?,"Trẻ bú mẹ đi ngoài vàng lỏng 5–8 lần/ngày là bình thường. Tiêu chảy khi: phân lỏng tóe nước, nhiều hơn bình thường của bé, mùi tanh khó chịu, kèm sốt hoặc máu trong phân. Bù nước ORS và đến bệnh viện.",BV Nhi Đồng 1 — Phác đồ nhi khoa 2020
Da kề da ngay sau sinh quan trọng như thế nào?,"Da kề da (Skin-to-skin/Kangaroo) trong giờ đầu sau sinh: ổn định thân nhiệt bé, điều hòa nhịp tim và nhịp thở, kích thích bé bú sớm, tạo gắn kết mẹ-con, giúp sữa non về sớm. Áp dụng ngay cả sau sinh mổ nếu mẹ và bé ổn định.",Bộ Y tế VN — Chăm sóc thiết yếu sơ sinh (EENC) QĐ 6734
Phương pháp Kangaroo dành cho trẻ non tháng là gì?,"Bé được bế trực tiếp trên ngực mẹ/cha (da kề da), bé mặc tã và đội mũ. Duy trì liên tục hoặc ít nhất 8 giờ/ngày. Giúp: ổn định thân nhiệt, tăng cân tốt hơn, giảm nhiễm trùng, hỗ trợ bú mẹ. Áp dụng khi bé ổn định không cần hỗ trợ hô hấp xâm lấn.",Quyết định 2681/QĐ-BYT — Bộ Y tế VN; BV Nhi Trung ương
Trẻ sơ sinh co giật phải làm gì?,Đặt bé nằm nghiêng tránh sặc. KHÔNG cho gì vào miệng bé. Gọi cấp cứu NGAY (115). Ghi lại thời gian co giật và dạng co giật. Đây là cấp cứu y tế — bác sĩ sẽ dùng Phenobarbital hoặc Diazepam để cắt cơn.,BV Nhi Đồng 1 — Phác đồ sơ sinh; Bộ Y tế
Bé sinh non cần chú ý điều gì đặc biệt sau xuất viện?,"Theo dõi thở (nhịp thở 40–60 lần/phút là bình thường), nhiệt độ (36.5–37.5°C), bú và tăng cân. Tiêm vắc xin theo lịch hiệu chỉnh (tính từ ngày dự sinh). Tái khám mắt, thính giác định kỳ. Tiếp tục kangaroo tại nhà.",BV Nhi Trung ương; Quyết định 2681/QĐ-BYT
Trẻ sơ sinh bị nghẹt mũi có nguy hiểm không?,"Trẻ sơ sinh thở chủ yếu bằng mũi, nên nghẹt mũi ảnh hưởng bú và ngủ. Nhỏ nước muối sinh lý (NaCl 0.9%) 2–3 giọt mỗi bên mũi, dùng bóng hút mũi hút nhẹ. Không dùng thuốc nhỏ mũi co mạch cho trẻ dưới 2 tuổi.",BV Nhi Đồng 1; Bộ Y tế
Trẻ 1 tháng tuổi phát triển thế nào là bình thường?,"Cân nặng: tăng 150–200g/tuần (đạt ~4–4.5kg). Chiều cao: tăng ~3–4cm/tháng. Phản xạ: mút, chớp mắt khi có ánh sáng. Thị lực: nhìn rõ 20–30cm. Nghe: giật mình khi có tiếng động mạnh. Vận động: ngẩng đầu ngắn khi nằm sấp.",Vinmec; BV Nhi Đồng 1 — Phát triển trẻ sơ sinh
Mắt trẻ sơ sinh bị ghèn nhiều có sao không?,"Ghèn vàng nhạt hoặc trong — có thể do tắc lệ đạo (ống dẫn lệ chưa thông). Massage nhẹ góc trong mắt từ trên xuống dưới 5–6 lần/ngày, có thể tự khỏi trước 1 tuổi. Ghèn xanh/vàng nhiều kèm mắt đỏ sưng → nhiễm trùng, cần thuốc nhỏ mắt.",Vinmec; BV Nhi Đồng 1
Dấu hiệu nguy hiểm ở trẻ sơ sinh cần đến cấp cứu ngay?,"Đến cấp cứu NGAY khi bé: (1) Khó thở, thở rút lõm ngực, tím tái, (2) Bỏ bú hoàn toàn >2 cữ, (3) Sốt ≥38°C (dưới 28 ngày tuổi), (4) Co giật, (5) Lơ mơ không tỉnh, (6) Rốn đỏ chảy mủ, (7) Vàng da đến lòng bàn tay/chân.",BV Nhi Trung ương; Bộ Y tế VN — Hướng dẫn 2025
Mẹ sau sinh cần bao nhiêu calo mỗi ngày?,"Mẹ không cho con bú: 1800–2000 kcal/ngày. Mẹ cho con bú: 2500–2800 kcal/ngày (tăng thêm 500 kcal so với bình thường). Chia thành 5–6 bữa nhỏ trong ngày, không nhịn ăn hoặc ăn kiêng quá mức khi đang cho con bú.",Quyết định 776/QĐ-BYT — Bộ Y tế VN
Mẹ sau sinh cần bổ sung vi chất nào?,"Sắt: 60mg/ngày trong 3 tháng sau sinh (phòng thiếu máu). Canxi: 1200mg/ngày (sữa, phô mai, cá nhỏ). Vitamin D: 600–800 IU/ngày. Omega-3: cá béo 2 lần/tuần. Vitamin A: 5000 IU/ngày (không quá liều).",Bộ Y tế VN — Hướng dẫn Quốc gia CSSK Sinh sản 2016
Sau sinh mổ ăn gì giúp lành vết mổ nhanh?,"Protein (thịt nạc, cá, đậu hũ) giúp tái tạo mô. Vitamin C (cam, kiwi, ổi) hỗ trợ tổng hợp collagen. Kẽm (hàu, hạt bí) thúc đẩy lành thương. Sắt (thịt đỏ, rau dền) tạo máu. Vitamin K (rau cải, bông cải xanh) giúp đông máu.",Vinmec — Dinh dưỡng sau sinh mổ; BV Tâm Anh
Mẹ sau sinh kiêng ăn những gì?,"Kiêng: rượu bia (ảnh hưởng sữa mẹ và bé), cà phê quá nhiều, thực phẩm sống tái (nguy cơ nhiễm khuẩn), thực phẩm dễ gây dị ứng cho bé (hải sản nếu tiền sử dị ứng). Không cần kiêng khem quá mức vì ảnh hưởng dinh dưỡng.",Vinmec; BV Từ Dũ — Dinh dưỡng mẹ bỉm sữa
Mẹ sau sinh có nên ăn đồ lạnh không?,"Không có bằng chứng y học về việc đồ lạnh gây hại. Tuy nhiên nên tránh đồ lạnh trong tuần đầu sau sinh mổ vì dạ dày vẫn nhạy cảm. Sau đó ăn uống bình thường, đa dạng thực phẩm là tốt nhất.",Vinmec — Chăm sóc sau sinh
Mẹ sau sinh uống bao nhiêu nước mỗi ngày?,"Tối thiểu 2–3 lít/ngày (8–10 ly nước). Khi cho con bú cần thêm 500ml so với bình thường vì sữa mẹ chủ yếu là nước. Nên uống 1 ly nước trước mỗi cữ bú. Nước trái cây tươi, sữa, canh đều tính vào lượng nước.",BV Từ Dũ — Dinh dưỡng mẹ bỉm sữa
Mẹ sau sinh ăn gì để không mất sữa?,"Ăn đủ bữa (không nhịn), uống đủ nước. Tránh stress kéo dài. Không dùng thuốc kháng sữa (Cabergoline) trừ khi được chỉ định. Không cho bé bú bình quá nhiều. Bú càng nhiều càng kích thích tạo sữa.",BV Từ Dũ — Hướng dẫn NCBSM
Thực phẩm nào mẹ sau sinh nên tránh vì ảnh hưởng bé?,"Cà phê >200mg/ngày (khiến bé khó ngủ). Rượu bia (gây buồn ngủ, chậm phát triển thần kinh bé). Hành tỏi nhiều (thay đổi mùi vị sữa, bé có thể từ chối bú). Một số bé nhạy cảm với sữa bò trong khẩu phần mẹ.",Vinmec — Dinh dưỡng mẹ cho con bú
Mẹ sau sinh bị thiếu máu cần ăn gì?,"Thực phẩm giàu sắt: thịt bò nạc, gan, lòng đỏ trứng, rau dền đỏ, đậu lăng. Ăn kèm vitamin C để tăng hấp thu sắt. Tránh uống trà/cà phê cùng bữa ăn. Tiếp tục uống viên sắt 60mg/ngày theo chỉ định.",Bộ Y tế VN — Hướng dẫn CSSK Sinh sản 2016
Mẹ sau sinh bao lâu thì được ăn uống bình thường?,"Sinh thường: ăn bình thường ngay từ ngày đầu. Sinh mổ: ngày đầu ăn lỏng/cháo loãng → ngày 2–3 ăn mềm → từ ngày 4 ăn bình thường khi ruột hoạt động tốt. Ăn đa dạng, không kiêng khem quá mức.",Vinmec; BV Phụ Sản MêKông
Mẹ sau sinh muốn giảm cân phải làm sao?,"Không nên ăn kiêng trong khi cho con bú. Chờ đến 6 tháng sau sinh để bắt đầu giảm cân từ từ (0.5kg/tuần). Giảm cân bằng: ăn cân bằng đủ dinh dưỡng, vận động nhẹ (đi bộ, bơi), hạn chế đường và đồ chiên xào.",Vinmec — Sức khỏe mẹ sau sinh
Nhiễm khuẩn hậu sản có mấy dạng?,"Các dạng nhiễm khuẩn hậu sản: (1) Nhiễm khuẩn tầng sinh môn/âm hộ (nhẹ nhất), (2) Viêm niêm mạc tử cung (hay gặp nhất), (3) Viêm cơ tử cung, (4) Viêm phúc mạc, (5) Nhiễm khuẩn huyết (nặng nhất). Điều trị sớm rất quan trọng.",Phác đồ Nhiễm khuẩn hậu sản — BV Từ Dũ; BV Tâm Anh
Viêm niêm mạc tử cung sau sinh có triệu chứng gì?,"Triệu chứng: sốt xuất hiện ngày 2–3 sau sinh, sản dịch có mùi hôi và lẫn mủ, tử cung co hồi chậm, đau hạ vị, mạch nhanh >100 lần/phút. Cần dùng kháng sinh phổ rộng đường tĩnh mạch theo chỉ định bác sĩ.",Phác đồ Nhiễm khuẩn hậu sản — BV Từ Dũ; BS Nguyễn Thành Vinh — BV Tâm Anh Hà Nội
Băng huyết sau sinh là gì và nhận biết như thế nào?,"Băng huyết sau sinh: mất >500ml máu (sinh thường) hoặc >1000ml máu (sinh mổ) trong 24 giờ đầu. Dấu hiệu: chảy máu âm đạo nhiều không cầm, tụt huyết áp, mạch nhanh, da tái, chóng mặt ngất xỉu. Cần cấp cứu NGAY.","Phác đồ Băng huyết sau sinh — BV Từ Dũ, BV Tân Phú 2024"
Xử trí băng huyết sau sinh tại nhà trước khi đến bệnh viện?,"Gọi 115 NGAY. Trong khi chờ: xoa bóp tử cung qua thành bụng (nếu biết kỹ thuật), cho bé bú (kích thích oxytocin tự nhiên), nằm đầu thấp chân cao, giữ ấm. Không tự dùng thuốc. Đến bệnh viện càng nhanh càng tốt.",Phác đồ Băng huyết sau sinh — BV Từ Dũ
Huyết khối tĩnh mạch sau sinh có nguy hiểm không?,"Rất nguy hiểm. Triệu chứng: chân sưng đau đỏ một bên (huyết khối tĩnh mạch sâu), đau ngực khó thở đột ngột (thuyên tắc phổi). Yếu tố nguy cơ: sinh mổ, nằm lâu. Phòng ngừa: đi lại sớm sau sinh, đủ nước, vớ hỗ trợ tuần hoàn.",Phác đồ sản khoa — BV Hùng Vương 2024
Nhiễm trùng đường tiểu sau sinh có triệu chứng gì?,"Tiểu buốt, tiểu rắt, tiểu đau, nước tiểu đục hoặc có mùi nặng, sốt nhẹ hoặc đau vùng hông lưng. Thường gặp sau đặt ống thông tiểu khi sinh mổ. Cần xét nghiệm nước tiểu và dùng kháng sinh theo chỉ định.",BV Tâm Anh — Nhiễm khuẩn sau sinh; BV Bình Dân
Sót nhau sau sinh là gì?,"Sót nhau: một phần bánh nhau hoặc màng nhau còn ở trong tử cung sau sinh. Triệu chứng: chảy máu âm đạo kéo dài, sản dịch có mùi hôi, sốt, tử cung co hồi kém. Cần siêu âm xác định và nạo buồng tử cung.",Phác đồ sản khoa — BV Từ Dũ
Vết may tầng sinh môn chăm sóc như thế nào?,Rửa sạch vùng tầng sinh môn bằng nước ấm từ trước ra sau sau mỗi lần đi vệ sinh. Thay băng 4–6 giờ/lần. Ngâm nước ấm giảm đau. Tránh ngồi lâu. Chỉ tự tiêu sau 5–7 ngày. Sưng đau tăng hoặc có mủ → khám BS.,BV Hùng Vương; BV Hạnh Phúc — Chăm sóc vết may tầng sinh môn
Tiểu tồn lưu sau sinh là gì và xử lý thế nào?,"Tiểu tồn lưu: không tiểu được hoặc tiểu rất ít sau 6 giờ (sinh thường) hoặc sau rút ống thông (sinh mổ). Thử ngồi ngâm nước ấm, bật vòi nước khi tiểu. Nếu >400ml trong bàng quang qua siêu âm → đặt lại ống thông tiểu.",Phác đồ Tiểu tồn lưu sau sinh — BV Từ Dũ
Mẹ sau sinh bị tiền sản giật cần theo dõi gì?,"Theo dõi huyết áp hàng ngày trong 6 tuần hậu sản. Dấu hiệu nguy hiểm: HA >160/110, nhức đầu dữ dội, mờ mắt, đau thượng vị, phù toàn thân. Uống canxi 1.5g/ngày để phòng tái phát. Khám chuyên khoa tim mạch sau 6 tuần.",Phác đồ sản khoa — BV Từ Dũ
Mẹ tiểu đường thai kỳ sau sinh cần làm gì?,"Xét nghiệm đường huyết 6–12 tuần sau sinh (OGTT 75g). Ăn kiêng, vận động để kiểm soát đường huyết. Theo dõi lâu dài vì 50% có nguy cơ tiểu đường type 2 trong 5–10 năm. Tiếp tục cho con bú vì giúp cả mẹ và bé.",Vinmec — Tiểu đường thai kỳ; BV Từ Dũ
Viêm vú sau sinh điều trị như thế nào?,"Tiếp tục cho bú (rất quan trọng, tránh áp xe). Kháng sinh: Amoxicillin-Clavulanate hoặc Dicloxacillin 10–14 ngày. Giảm đau bằng Ibuprofen/Paracetamol. Chườm ấm trước bú, chườm lạnh sau bú. Nghỉ ngơi và uống nhiều nước.",BS.CKI Trần Thị Thu Hương — Vinmec Central Park; BV Từ Dũ
Mẹ bị tắc tia sữa có cần ngừng cho bú không?,"Không cần ngừng cho bú — ngược lại, tiếp tục cho bú thường xuyên (bắt đầu bên bị tắc) là điều trị quan trọng nhất. Ngừng cho bú đột ngột sẽ làm tình trạng nặng hơn và có thể dẫn đến áp xe.",BV Từ Dũ — Hướng dẫn chăm sóc vú; Vinmec
Mẹ sau sinh bị đau đầu kéo dài cần lưu ý gì?,"Đau đầu sau sinh có thể do: thiếu ngủ (thường gặp), thiếu nước, hạ huyết áp, hậu quả gây tê tủy sống (đau đầu khi đứng, đỡ khi nằm). Nếu đau đầu dữ dội kèm tăng huyết áp, mờ mắt → nguy cơ tiền sản giật hậu sản, cần khám ngay.",Vinmec; Phác đồ sản khoa BV Từ Dũ
Mẹ sau sinh bị sốt sau 2 tuần có phải nhiễm trùng vết mổ không?,"Sốt sau 2 tuần có thể do: nhiễm trùng vết mổ trễ, viêm vú/áp xe vú, nhiễm trùng đường tiểu, viêm tĩnh mạch. Cần khám để xác định nguyên nhân. Kèm đỏ/mủ vết mổ → nhiễm trùng vết mổ cần điều trị ngay.",BV Từ Dũ; BV Tâm Anh — Nhiễm khuẩn sau sinh
Phương pháp tránh thai nào an toàn nhất sau sinh?,"Các phương pháp an toàn sau sinh: (1) Bao cao su (dùng được ngay), (2) Thuốc tránh thai chỉ progestin (mini-pill, từ 6 tuần sau sinh nếu cho con bú), (3) Đặt vòng (từ 6 tuần), (4) Cấy que (từ 6 tuần). Tránh thuốc kết hợp estrogen-progestin khi cho con bú.",BV Từ Dũ — Kế hoạch hóa gia đình hậu sản
Phương pháp LAM tránh thai bằng cho con bú hiệu quả không?,"LAM (Lactational Amenorrhea Method) hiệu quả 98% khi đủ 3 điều kiện: (1) Bú mẹ hoàn toàn, (2) Bé dưới 6 tháng, (3) Mẹ chưa có kinh trở lại. Thiếu một điều kiện → cần dùng biện pháp tránh thai khác.",Bộ Y tế VN — Hướng dẫn Quốc gia CSSK Sinh sản 2016
Đặt vòng tránh thai sau sinh khi nào được?,"Đặt vòng ngay sau sổ nhau (trong 48 giờ) hoặc sau 4–6 tuần hậu sản khi tử cung đã co hồi. Vòng đồng hoạt động ngay, vòng Mirena (progestin) có thể đặt ngay khi cho con bú. Hiệu quả tránh thai >99%.",BV Từ Dũ — Kế hoạch hóa gia đình
Bao cao su dùng sau sinh thế nào để phòng tránh thai?,Dùng bao cao su đúng cách từ lần quan hệ đầu tiên sau sinh (sau 6 tuần). Hiệu quả tránh thai 98% nếu dùng đúng. Cũng bảo vệ khỏi các bệnh lây truyền qua đường tình dục. Có thể kết hợp với kem bôi trơn gốc nước.,BV Từ Dũ — Hướng dẫn hậu sản
Mẹ cho con bú uống thuốc tránh thai được không?,"Thuốc tránh thai kết hợp estrogen-progestin: KHÔNG nên dùng khi cho con bú (estrogen làm giảm sữa). Thuốc chỉ progestin (mini-pill): an toàn khi cho con bú, dùng từ tuần 6. Uống đúng giờ hàng ngày, không được quên.",BV Từ Dũ — Kế hoạch hóa gia đình hậu sản
Trẻ 1 tháng tuổi nên bú mẹ bao nhiêu lần/ngày?,"8–12 lần/24 giờ, theo nhu cầu. Khoảng cách giữa các cữ bú 2–3 giờ. Bé tăng cân đều, đi tiểu 6–8 lần/ngày là bú đủ. Không cần cho bú theo giờ cố định — bú theo nhu cầu tốt hơn.",BV Nhi Đồng 1; BV Từ Dũ — NCBSM
Trẻ 2 tháng phát triển thế nào là bình thường?,"Cân nặng: tăng 1–1.5kg/tháng (đạt 5–5.5kg). Xã hội hóa: cười đáp lại khi được nói chuyện. Vận động: ngẩng đầu 45 độ khi nằm sấp, theo dõi vật di chuyển. Phát âm: phát ra âm thanh 'ò', 'à'.",Vinmec; WHO — Cột mốc phát triển trẻ
Trẻ 2 tháng tiêm vắc xin gì?,"Tháng 2: vắc xin 5 trong 1 (DTP-VGB-Hib) mũi 1, bại liệt uống/tiêm, vắc xin phế cầu (PCV) mũi 1, rota virus uống mũi 1 (nếu có). Sau tiêm theo dõi sốt, quấy khóc tại nhà 30 phút trước khi về.",Bộ Y tế VN — Chương trình tiêm chủng mở rộng
Bé 3 tháng quấy nhiều về chiều có bình thường không?,"Có thể là cơn khóc dạ đề (colic) — khóc dữ dội >3 giờ/ngày, >3 ngày/tuần, thường chiều tối. Nguyên nhân chưa rõ. Cách xử lý: bế bé đi lại, vỗ lưng nhẹ, tắm ấm, giảm kích thích. Thường tự hết trước 4 tháng.",BV Nhi Đồng 1; Vinmec
Trẻ 4 tháng có thể bắt đầu cho ăn dặm không?,"Không. WHO và Bộ Y tế VN khuyến cáo bắt đầu ăn dặm lúc 6 tháng (không sớm hơn 4 tháng và không muộn hơn 7 tháng). Bắt đầu sớm tăng nguy cơ dị ứng, béo phì, nhiễm khuẩn đường tiêu hóa.",Bộ Y tế VN; WHO
Bắt đầu cho bé ăn dặm nên cho ăn gì đầu tiên?,"Tháng đầu ăn dặm (6 tháng): bột/cháo loãng tỷ lệ 1:10, 2 bữa/ngày. Ưu tiên thực phẩm từng loại riêng lẻ để kiểm tra dị ứng. Bắt đầu với: bí đỏ, cà rốt, khoai lang nghiền, cháo gạo. Tiếp tục bú mẹ là chính.",Quyết định 318/QĐ-BYT — Bộ Y tế VN
Bé 6 tháng cần bổ sung sắt không?,"Cần. Bé bú mẹ hoàn toàn đến 6 tháng thì dự trữ sắt từ mẹ cạn dần. Khi bắt đầu ăn dặm cần chú ý thực phẩm giàu sắt: thịt đỏ, gan, đậu lăng. Nhu cầu sắt 11mg/ngày. Hỏi bác sĩ về bổ sung sắt nhỏ giọt nếu bé bú mẹ hoàn toàn.",BV Nhi Đồng 1; Vinmec
Trẻ 5 tháng cần bổ sung Vitamin D không?,Sữa mẹ không đủ vitamin D. Khuyến cáo: tất cả trẻ bú mẹ nên uống bổ sung Vitamin D3 400–800 IU/ngày từ khi sinh đến 12 tháng tuổi. Ánh nắng mặt trời sáng sớm (7–9h) 15–30 phút cũng giúp tổng hợp vitamin D.,BV Nhi Đồng 1 — Phác đồ nhi khoa 2020; Vinmec
Bé 6 tháng không mọc răng có chậm không?,Không. Thời điểm mọc răng bình thường là 6–10 tháng (răng cửa dưới thường mọc đầu tiên). Một số bé đến 12–14 tháng mới mọc răng vẫn là bình thường di truyền. Nếu >18 tháng chưa có răng nào mới cần khám bác sĩ.,Vinmec; BV Nhi Đồng 1
Trẻ sơ sinh mồ hôi trộm nhiều về đêm có sao không?,"Mồ hôi trộm thường gặp ở trẻ do hệ thống điều nhiệt chưa hoàn thiện. Kiểm tra: phòng có quá nóng không, bé có mặc quá nhiều quần áo không. Kèm theo còi xương (thóp rộng, đầu bẹt) → cần bổ sung Vitamin D. Cần xét nghiệm nếu kèm sụt cân.",BV Nhi Đồng 1; Vinmec
Bé khóc đêm mãi không ngủ phải làm gì?,"Kiểm tra theo thứ tự: đói (cho bú), tã ướt/bẩn (thay tã), quá nóng/lạnh (điều chỉnh nhiệt độ), đau bụng/đầy hơi (massage bụng theo vòng tròn), cần vỗ về (bế lên đi lại). Tạo thói quen ngủ nhất quán giúp bé ngủ dài hơn sau 3–4 tháng.",BV Nhi Đồng 1; Vinmec
Mẹ sau sinh có thể dùng nghệ không?,"Có thể dùng nghệ trong nấu ăn với lượng bình thường. Nghệ có curcumin giúp chống viêm, hỗ trợ lành vết thương. Tuy nhiên không nên dùng liều cao (>1.5g/ngày) vì chưa đủ bằng chứng an toàn khi cho con bú.",Vinmec; BV Phụ Sản MêKông
Mẹ sau sinh bị táo bón có dùng thuốc nhuận tràng được không?,"Thuốc an toàn khi cho con bú: Lactulose, Polyethylene glycol (PEG), viên nhuận tràng thảo mộc ít tác động (Macrogol). Không dùng Bisacodyl lâu dài khi cho con bú. Ưu tiên điều chỉnh chế độ ăn uống và vận động trước.",Vinmec — Tư vấn dùng thuốc sau sinh
Sơ sinh có thể ngủ chung giường với mẹ không?,"WHO và Bộ Y tế khuyến cáo ngủ cùng phòng nhưng giường riêng (room-sharing, not bed-sharing). Ngủ chung giường tăng nguy cơ đột tử sơ sinh (SIDS). Nếu ngủ chung: không dùng chăn/gối mềm xung quanh bé, không để bé ngủ giữa mẹ và tường.",BV Nhi Đồng 1; Bộ Y tế VN
Bé nằm sấp ngủ có nguy hiểm không?,"Nguy hiểm. Nằm sấp khi ngủ tăng nguy cơ đột tử sơ sinh (SIDS). Luôn đặt bé nằm ngửa khi ngủ cho đến khi bé tự lật được. Bề mặt ngủ phải cứng, phẳng. Không dùng gối mềm hoặc đệm bông cho trẻ dưới 1 tuổi.",BV Nhi Đồng 1; BV Nhi Trung ương; WHO
Trẻ sơ sinh có cần uống thêm vitamin không?,Cần bổ sung: Vitamin D3 400 IU/ngày (từ sinh đến 12 tháng nếu bú mẹ). Vitamin K tiêm ngay sau sinh (phòng xuất huyết). Sắt từ 4 tháng nếu bú mẹ hoàn toàn. Không tự ý cho bé uống vitamin tổng hợp mà không có chỉ định bác sĩ.,BV Nhi Đồng 1 — Phác đồ nhi khoa 2020; Bộ Y tế VN
